"","age","sex","age_group","level_education","ethnicity","religion","health_risk_associated_with_drinking_untreated_water","main_source_of_drinking_water_dry_season","main_source_of_drinking_water_wet_season","treat_drinking_water","chlorination_process_done_correctly","knowledge_on_cholera_season","often_treat_water","difficulties_accessing_water_treatment_products","drinking_water_treated","method_boiling_binary","method_chlorine_binary","potential_causes_binary","cholera_prevention_binary","frequency_treatment_binary","access_products_binary","community_practice_binary","traditional_beliefs_binary","source_drinking_binary","water_treatment_practice_score","water_treatment_category"
"138",32,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.5,"Does Not Practice"
"139",42,"female","31-50","none","ngoni","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"140",86,"female",">50","none","other_enthni","Christianity","yes","community_standpipe","community_standpipe","yes","no","in_summer","Sometimes","yes",1,0,1,1,1,1,0,0,NA,0,0.5,"Does Not Practice"
"141",32,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"142",47,"female","31-50","primary","ngoni","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,NA,1,0.75,"Practices"
"143",56,"female",">50","primary","other_enthni","Christianity","yes","community_standpipe","community_standpipe","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.333333333333333,"Does Not Practice"
"144",31,"female","31-50","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"145",21,"male","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.5,"Does Not Practice"
"146",50,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,1,0.75,"Practices"
"147",68,"male",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"148",57,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_summer in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,1,1,0.75,"Practices"
"149",21,"male","18-30","primary","chewa","Christianity","no","borehole_1","borehole_1","no",NA,"do_not_know",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.25,"Does Not Practice"
"150",36,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,1,1,0.5,"Does Not Practice"
"151",49,"female","31-50","primary","ngoni","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,1,1,0.5,"Does Not Practice"
"152",50,"female","31-50","none","nyanja","others_regligion","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"153",65,"female",">50","none","nyanja","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"154",47,"female","31-50","primary","nyanja","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"155",53,"male",">50","primary","chewa","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,0,0.583333333333333,"Practices"
"156",52,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,1,1,1,1,1,0,1,NA,1,0.833333333333333,"Practices"
"157",26,"male","18-30","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,1,1,0.75,"Practices"
"158",36,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,1,NA,1,0.833333333333333,"Practices"
"159",89,"female",">50","primary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,1,NA,0,0.666666666666667,"Practices"
"160",60,"female",">50","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,1,NA,1,0.75,"Practices"
"161",45,"male","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,0,0,1,1,1,0,1,NA,1,0.666666666666667,"Practices"
"162",21,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"163",26,"male","18-30","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"164",30,"female","18-30","primary","chewa","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,0,0.333333333333333,"Does Not Practice"
"165",38,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"166",42,"male","31-50","none","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"167",46,"male","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,1,1,1,1,1,1,0,NA,1,0.833333333333333,"Practices"
"168",34,"female","31-50","secondary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,1,1,1,1,1,1,0,0,1,0.833333333333333,"Practices"
"169",31,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,1,1,1,1,1,1,0,NA,1,0.833333333333333,"Practices"
"170",42,"male","31-50","primary","sena","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"171",42,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,1,0,1,1,1,1,0,NA,1,0.75,"Practices"
"172",31,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"173",39,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,1,1,1,1,1,0,1,NA,1,0.833333333333333,"Practices"
"174",20,"male","18-30","secondary","chewa","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes",NA,"in_rainy_season","Always","no",1,1,0,1,1,1,1,0,0,0,0.666666666666667,"Practices"
"175",30,"female","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","yes",1,1,0,1,1,1,0,0,1,1,0.75,"Practices"
"176",34,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"177",49,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"178",55,"female",">50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"179",65,"male",">50","primary","chewa","Christianity","yes","protected_well_1","protected_well_1","yes",NA,"in_rainy_season","Always","yes",1,1,0,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"180",19,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"181",55,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"182",28,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"183",30,"female","18-30","secondary","chewa","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,0,0,1,1,1,0,1,1,1,0.75,"Practices"
"184",63,"female",">50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"185",48,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,1,1,0.916666666666667,"Practices"
"186",29,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","yes",1,1,1,1,1,1,0,1,1,1,0.916666666666667,"Practices"
"187",49,"female","31-50","primary","lomwe","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"188",36,"female","31-50","primary","lomwe","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,0,1,0.416666666666667,"Does Not Practice"
"189",53,"female",">50","primary","yao","muslim","no","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"190",28,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"191",40,"female","31-50","primary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"192",30,"female","18-30","primary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,0,0.75,"Practices"
"193",19,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"194",25,"male","18-30","primary","yao","muslim","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,NA,1,0.416666666666667,"Does Not Practice"
"195",29,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"196",65,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"197",42,"female","31-50","none","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"198",38,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"199",20,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"200",26,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"201",36,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"202",34,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"203",39,"female","31-50","primary","ngoni","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,1,0,1,1,1,1,0,NA,1,0.75,"Practices"
"204",30,"female","18-30","tertiary","chewa","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,0,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"205",42,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"206",27,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"207",59,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"208",61,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"209",25,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"210",23,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"211",28,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","no",1,1,0,1,1,1,1,0,NA,1,0.75,"Practices"
"212",59,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"213",42,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,1,1,0.916666666666667,"Practices"
"214",27,"female","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,1,1,0.833333333333333,"Practices"
"215",53,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,1,0,1,0.5,"Does Not Practice"
"216",42,"male","31-50","none","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season in_summer in_winter",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"217",23,"female","18-30","primary","lomwe","Christianity","no","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,1,1,0.833333333333333,"Practices"
"218",45,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"219",34,"female","31-50","secondary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season in_summer","Sometimes","yes",1,0,1,1,1,1,0,1,1,1,0.833333333333333,"Practices"
"220",66,"female",">50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"221",38,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"222",40,"female","31-50","secondary","ngoni","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"223",29,"female","18-30","primary","ngoni","Christianity","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,0,0.666666666666667,"Practices"
"224",34,"female","31-50","secondary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,1,0,0,0.75,"Practices"
"225",29,"female","18-30","primary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,0,0,0.666666666666667,"Practices"
"226",50,"female","31-50","primary","yao","muslim","yes","piped_into_yard_plot","piped_into_yard_plot","yes","yes","in_rainy_season","Always","yes",1,0,1,1,1,1,0,1,0,0,0.666666666666667,"Practices"
"227",25,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.833333333333333,"Practices"
"228",41,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"229",47,"male","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,1,1,0.833333333333333,"Practices"
"230",40,"male","31-50","primary","tonga","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"231",38,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"232",24,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"233",52,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"234",23,"male","18-30","none","yao","muslim","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"235",39,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"236",28,"female","18-30","primary","yao","muslim","no","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,NA,1,0.75,"Practices"
"237",39,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,0,1,0.666666666666667,"Practices"
"238",35,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"239",26,"male","18-30","none","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,0,1,0.416666666666667,"Does Not Practice"
"240",43,"male","31-50","secondary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"241",72,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"242",38,"male","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"243",32,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"244",34,"male","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"245",49,"male","31-50","none","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"246",65,"male",">50","primary","chewa","Christianity","no","borehole_1","borehole_1","no",NA,"in_rainy_season in_summer in_winter",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"247",50,"female","31-50","primary","chewa","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season in_summer in_winter","Always","no",1,0,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"248",67,"male",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"249",28,"male","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season in_summer in_winter","Always","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"250",38,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"251",69,"female",">50","none","chewa","Christianity","yes","borehole_1","borehole_1","yes","no","in_rainy_season","Never","yes",1,0,1,1,1,0,0,0,NA,1,0.583333333333333,"Practices"
"252",34,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","no",NA,"in_rainy_season in_winter in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"253",48,"male","31-50","primary","yao","muslim","yes","borehole_1","rainwater","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"254",63,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season in_summer",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"255",32,"male","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,1,1,1,1,1,1,1,NA,1,0.916666666666667,"Practices"
"256",73,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","yes",1,1,1,1,1,1,0,0,NA,1,0.75,"Practices"
"257",61,"female",">50","primary","tumbuka","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,NA,1,0.75,"Practices"
"258",37,"male","31-50","secondary","chewa","Christianity","yes","borehole_1","piped_into_yard_plot","yes",NA,"in_summer","Sometimes","no",1,1,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"259",52,"female",">50","none","yao","muslim","yes","borehole_1","piped_into_yard_plot","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"260",42,"female","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"261",18,"male","18-30","secondary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"262",62,"female",">50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Always","yes",1,0,0,1,1,1,0,0,NA,1,0.583333333333333,"Practices"
"263",50,"male","31-50","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"264",25,"female","18-30","primary","chewa","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"265",26,"female","18-30","secondary","chewa","Christianity","yes","community_standpipe","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"266",51,"male",">50","secondary","lomwe","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"267",49,"female","31-50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"268",39,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"269",25,"female","18-30","secondary","yao","muslim","yes","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.416666666666667,"Does Not Practice"
"270",21,"female","18-30","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"271",54,"male",">50","primary","yao","muslim","yes","piped_into_dwelling","piped_into_dwelling","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"272",21,"female","18-30","primary","yao","muslim","no","borehole_1","rainwater","yes","yes","in_rainy_season","Sometimes","no",1,0,1,1,1,1,1,0,0,1,0.666666666666667,"Practices"
"273",25,"female","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"274",20,"male","18-30","primary","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,NA,1,0.75,"Practices"
"275",31,"female","31-50","primary","yao","muslim","yes","borehole_1","borehole_1","yes",NA,"in_rainy_season","Sometimes","no",1,0,0,1,1,1,1,0,NA,1,0.666666666666667,"Practices"
"276",35,"male","31-50","none","yao","muslim","no","borehole_1","borehole_1","no",NA,"in_rainy_season",NA,NA,0,NA,NA,1,1,0,NA,0,NA,1,0.333333333333333,"Does Not Practice"
"277",76,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,0,0,1,0.75,"Practices"
"278",51,"male",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,0,NA,1,0.666666666666667,"Practices"
"279",52,"female",">50","none","yao","muslim","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Sometimes","yes",1,0,1,1,1,1,0,1,NA,1,0.75,"Practices"
"280",31,"female","31-50","primary","yao","Christianity","yes","borehole_1","borehole_1","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,0,1,0.833333333333333,"Practices"
"281",23,"male","18-30","primary","yao","muslim","no","borehole_1","borehole_1","yes","yes","in_rainy_season","donot_know","no",1,0,1,1,1,0,1,0,NA,1,0.583333333333333,"Practices"
"282",33,"male","31-50","primary","yao","muslim","yes","community_standpipe","community_standpipe","yes","yes","in_rainy_season","Always","no",1,0,1,1,1,1,1,1,0,0,0.75,"Practices"
